,Feature_DT,DT_2004,Feature_DT_2008,DT_2008,Feature_DT_2012,DT_2012,Feature_DT_2016,DT_2016
16,Channel_C,0.009692005851832362,Channel_C,0.009447965994300329,Channel_C,0.0025628537895904897,Channel_C,0.009060231956889627
17,Channel_R,0.0096122612525091,Channel_R,0.009474035666737799,Channel_R,0.0,Channel_R,0.0
18,Seller_AMTRUST BANK,0.006469850743708933,Seller_AMTRUST BANK,0.0066031941495206135,Seller_ALLY BANK,0.0004913017914743655,"Seller_CALIBER HOME LOANS, INC.",0.000944974592911879
19,"Seller_BANK OF AMERICA, N.A.",0.011300545378301252,"Seller_BANK OF AMERICA, N.A.",0.012022835395080294,Seller_AMERISAVE MORTGAGE CORPORATION,0.0,"Seller_CITIMORTGAGE, INC.",0.0
20,Seller_BISHOPS GATE RESIDENTIAL MORTGAGE TRUST,0.0005224862140647611,Seller_BISHOPS GATE RESIDENTIAL MORTGAGE TRUST,0.00025097167058541636,"Seller_CASHCALL, INC.",0.0,Seller_FINANCE OF AMERICA MORTGAGE LLC,0.0021403619762364718
21,"Seller_CITIMORTGAGE, INC.",0.0058914381607532195,"Seller_CITIMORTGAGE, INC.",0.0052335775678026865,Seller_CHICAGO MORTGAGE SOLUTIONS DBA INTERFIRST MORTGAGE COMPANY,0.0,"Seller_FLAGSTAR BANK, FSB",0.010295718132829123
22,Seller_FIRST TENNESSEE BANK NATIONAL ASSOCIATION,0.0012689561765989589,Seller_FIRST TENNESSEE BANK NATIONAL ASSOCIATION,0.001122265221199197,"Seller_CITIMORTGAGE, INC.",0.008255372751961003,Seller_FRANKLIN AMERICAN MORTGAGE COMPANY,0.001278490109552632
23,"Seller_FLAGSTAR BANK, FSB",0.00679861398936842,"Seller_FLAGSTAR BANK, FSB",0.007725172357253031,Seller_FEDERAL HOME LOAN BANK OF CHICAGO,0.008022005836670183,Seller_FREEDOM MORTGAGE CORP.,0.0
24,"Seller_GMAC MORTGAGE, LLC",0.0051176245599457645,"Seller_GMAC MORTGAGE, LLC",0.005335482657928001,Seller_FLAGSTAR CAPITAL MARKETS CORPORATION,4.1479133056853615e-05,Seller_IMPAC MORTGAGE CORP.,0.0
25,"Seller_HARWOOD STREET FUNDING I, LLC",0.0021205367456407632,"Seller_HARWOOD STREET FUNDING I, LLC",0.0020667508085162414,Seller_FRANKLIN AMERICAN MORTGAGE COMPANY,0.0,"Seller_JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",0.0
26,"Seller_IRWIN MORTGAGE, CORPORATION",0.002080611276919366,"Seller_IRWIN MORTGAGE, CORPORATION",0.001740524454001459,"Seller_HOMEWARD RESIDENTIAL, INC.",0.0,"Seller_LOANDEPOT.COM, LLC",0.0008018871546343672
27,"Seller_JPMORGAN CHASE BANK, NA",0.004113277002393971,"Seller_JPMORGAN CHASE BANK, NA",0.004728499590808477,"Seller_JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",0.0008238460213518552,"Seller_MOVEMENT MORTGAGE, LLC",0.011344625806995625
28,Seller_OTHER,0.009298962220260778,Seller_OTHER,0.009488713861442366,"Seller_NYCB MORTGAGE COMPANY, LLC",0.002081999650663097,"Seller_NATIONSTAR MORTGAGE, LLC",0.015407576320221468
29,"Seller_PRINCIPAL RESIDENTIAL MORTGAGE CAPITAL RESOURCES, LLC",0.00342800500131242,"Seller_PRINCIPAL RESIDENTIAL MORTGAGE CAPITAL RESOURCES, LLC",0.004180969207988812,Seller_OTHER,0.006487223654900935,Seller_OTHER,0.015855405924556847
30,Seller_RBC MORTGAGE COMPANY,0.001474393945881747,Seller_RBC MORTGAGE COMPANY,0.0014646969979003417,Seller_PENNYMAC CORP.,0.004077683440223445,Seller_PENNYMAC CORP.,0.0
31,Seller_REGIONS BANK,0.005664855202430921,Seller_REGIONS BANK,0.006340326909166339,Seller_PHH MORTGAGE CORPORATION,0.011949164771239853,Seller_PMT CREDIT RISK TRANSFER TRUST 2016-1,0.0
32,Seller_SUNTRUST MORTGAGE INC.,0.004550657750788636,Seller_SUNTRUST MORTGAGE INC.,0.004964091117668845,"Seller_PROVIDENT FUNDING ASSOCIATES, L.P.",0.0,"Seller_PROVIDENT FUNDING ASSOCIATES, L.P.",0.0
33,Seller_USAA FEDERAL SAVINGS BANK,0.0006884972329757308,Seller_USAA FEDERAL SAVINGS BANK,0.0006884972329757308,Seller_QUICKEN LOANS INC.,0.0007102201821095194,Seller_QUICKEN LOANS INC.,0.0
